metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
QMI,PET,24,0.7648744328763429,0.6863741323079534,-0.07850030056838952,-0.8923611111111112,large,0.0,1.0,1.0,NS
QSF,PET,24,0.032920165686165154,0.12771445330823103,0.09479428762206588,1.0,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,PET,24,0.8106392162497976,0.8088461982230708,-0.0017930180267268225,-0.5208333333333334,large,0.0,1.0,1.0,NS
QTE,PET,24,-5.291335585132882,-5.950619593444681,-0.6592840083117988,-0.4201388888888889,medium,0.0,1.0,1.0,NS
EN,SPECT,24,5.004588447373647,5.046632802642168,0.042044355268521016,0.041666666666666664,trivial,212.0,0.039364635944366455,0.9053866267204285,MARGINAL
VAR,SPECT,24,60.284758116291584,49.43244072083345,-10.852317395458137,-0.8819444444444444,large,0.0,1.0,1.0,NS
AG,SPECT,24,6.9577777427410155,6.016458033098663,-0.9413197096423529,-0.3888888888888889,medium,0.0,1.0,1.0,NS
SF,SPECT,24,22.283591337606264,19.471945922246732,-2.811645415359532,-0.4965277777777778,large,0.0,1.0,1.0,NS
EI,SPECT,24,70.35793384285253,60.5072155770899,-9.85071826576263,-0.4131944444444444,medium,0.0,1.0,1.0,NS
MI,SPECT,24,46.760497411092125,38.53955523173014,-8.220942179361984,-0.6041666666666666,large,0.0,1.0,1.0,NS
NCIE,SPECT,24,0.8145233357874577,0.8116382947623589,-0.002885041025098789,-0.5763888888888888,large,0.0,1.0,1.0,NS
MI_mutual,SPECT,24,3.081451671964017,2.7575364573477894,-0.3239152146162274,-0.6458333333333334,large,0.0,1.0,1.0,NS
NABF,SPECT,24,0.03298507656551619,0.005049487931275434,-0.027935588634240758,0.9930555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,SPECT,24,0.6525684337221476,0.6330667256079755,-0.019501708114172067,-0.13194444444444445,trivial,2.0,0.9999998807907104,1.0,NS
CE,SPECT,24,1.2001269029317518,1.2004530684307866,0.00032616549903474734,0.041666666666666664,trivial,162.0,0.373462975025177,1.0,NS
SSIM,SPECT,24,1.4318334044787104,1.412645555134695,-0.019187849344015406,-0.06944444444444445,trivial,35.0,0.9997850656509399,1.0,NS
PSNR,SPECT,24,58.19675474680622,58.03429325106603,-0.16246149574018887,-0.1423611111111111,trivial,32.0,0.999860942363739,1.0,NS
RMSE,SPECT,24,0.09945422682989107,0.10326284779119871,0.0038086209613076433,-0.1423611111111111,trivial,33.0,0.9998388290405273,1.0,NS
QG,SPECT,24,0.758469704445443,0.7433918528395576,-0.015077851605885484,-0.2222222222222222,small,0.0,1.0,1.0,NS
QM,SPECT,24,0.16776686534250376,0.02013992906237637,-0.1476269362801274,-0.9930555555555556,large,1.0,0.9999999403953552,1.0,NS
QC,SPECT,24,0.6507299092464892,0.6233474429682878,-0.0273824662782014,-0.10069444444444445,trivial,6.0,0.9999994039535522,1.0,NS
QS,SPECT,24,0.551933833949276,0.5297168913209979,-0.022216942628278114,-0.08680555555555555,trivial,44.0,0.9993001222610474,1.0,NS
QCB,SPECT,24,0.8802187917105826,0.8802330861544373,1.4294443854701022e-05,0.0,trivial,174.0,0.25438302755355835,1.0,NS
QCV,SPECT,24,33.54733910360178,39.20438142903445,5.65704232543267,-0.3194444444444444,small,13.0,0.9999958276748657,1.0,NS
