EN,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE,image
5.03836653878616,80.46902449259537,7.303338336465963,27.218156600072216,75.15218328435901,0.8056876340153486,1.7123287245378398,0.008473661990636734,0.16908700234531893,0.26437646471584747,0.6559633397378948,55.33499830239733,0.19036211907094888,0.7458358337985921,0.013839964289731142,0.4093942019118083,0.3912415375710534,0.8849899994484312,63.14089047950143,0.5015985055306005,0.6356374123759965,0.12064689599570978,0.8056876340153486,-7.776843805602578,25015.png
5.510614916865586,88.81392598968318,8.59915251212467,30.280278208977638,88.2127742045211,0.8060832341415676,1.8970149347103238,0.007627867980335719,0.19881344538644738,10.502439414900817,0.6596732287640403,54.94533830772233,0.20823154915195807,0.669095072339095,0.009843274164266362,0.4549190960134747,0.42924335693040333,0.8807143979405601,87.06905716357136,0.5181155399918267,0.6300613501028502,0.1503001353428704,0.8060832341415676,-9.057329982392618,25022.png
5.839313426509614,88.65635618990757,9.270003964945277,31.361411507039463,95.0740588955882,0.8065235530472825,2.0209450064637933,0.010136125184031572,0.21310016577429236,8.663847397272704,0.6875748731446384,55.04762546731402,0.2033844822111145,0.6564664002662771,0.00924171887158944,0.48139394629962523,0.4513755712765213,0.8858108472411469,89.8050614884044,0.5452681791002963,0.6274697182458163,0.14616751737478775,0.8065235530472825,-8.366949545164678,25027.png
6.08849652701238,91.88721919047003,9.86235093864097,33.17032019142358,100.25172373115035,0.8069495083634972,2.1442175890579316,0.012601239849878178,0.23057328402863062,6.222818417321152,0.7104979600525572,54.77011071306748,0.2168049979001448,0.618578011728576,0.007104587382851344,0.5052574070421235,0.460758518322453,0.8857216672832804,112.01644236824556,0.566389276740501,0.6242926972266081,0.16096841998862166,0.8069495083634972,-8.098164894032701,25038.png
6.317221676889389,91.07507029136596,10.717835725281287,35.419854616785464,108.34715489246823,0.807233303717662,2.1957527831479586,0.012802844704025578,0.23964889891219532,6.929852298457965,0.7288350335932505,54.86896614312529,0.2119257586693321,0.6324940831096507,0.007996916971872475,0.5272972792719473,0.48078049725121635,0.8904008249891099,107.82697476637158,0.5871550208444996,0.6164473111303052,0.14809361327408122,0.807233303717662,-8.808792035618524,25046.png
6.2698374482971655,89.33452328103283,11.303601839025909,36.37847778893771,114.0859988633821,0.8070246953422427,2.1785303574044246,0.015938867638928305,0.2458497260416003,7.831877089767005,0.7571656907851939,55.1527203476454,0.1985218556791336,0.6404740035072636,0.006322537626425086,0.5446146693082705,0.49610937178582826,0.893068881230241,107.21126591118865,0.5999481159159128,0.6151552198176471,0.14651051446793265,0.8070246953422427,-8.115577931573183,25055.png
6.3750568730299,84.62300428961323,11.31994762624129,36.03062831477981,113.88293629988567,0.8070787501654272,2.158114874371133,0.014012337939694261,0.25332420989475996,0.6563857575819507,0.799142114439046,55.39237530731941,0.1878636820763236,0.6741575464879147,0.007397411003768962,0.5726561172553822,0.5235909803568025,0.8957230779687841,92.48913477473587,0.6311599967400363,0.6031869895535075,0.1363129506883279,0.8070787501654273,-7.4796042027592025,25063.png
6.549997496918813,82.98766536779121,12.87836019350707,38.7126570395714,130.09507632359964,0.8076501204944655,2.198794329134553,0.011855827672651958,0.26685535231486507,8.702062559039973,0.7874245528381514,54.9877313218612,0.2062088160195834,0.7323147853453883,0.00795229547810373,0.6045933915424703,0.5600147033885727,0.8909529297102642,81.65383298082226,0.651878018682784,0.5966524066952706,0.13643731484543922,0.8076501204944655,-8.221951406132114,25073.png
5.959817018017322,84.57971741954304,9.232237492461236,28.456643571484186,96.42624328134855,0.8082592950618102,2.244435334548406,0.010901694869287179,0.24297533781112263,0.523688161354875,0.7872095421559131,54.998452285763875,0.20570039814212732,0.7302619006890907,0.04664676817218786,0.5513339181674751,0.5064151833361792,0.8991695009678481,46.09697002391494,0.6298185631887344,0.6697129858513134,0.07985685467183973,0.8082592950618102,-8.014377080882918,30034.png
6.630833054790653,88.50503960357321,11.508424134941347,34.71680846738555,119.48563563322574,0.8079689883782103,2.2811112246714327,0.013564698107947516,0.270788583058051,7.182632831685728,0.7993968816522758,54.52461791290553,0.22941328811798076,0.6975371766196736,0.01823129394505366,0.6050703646991813,0.5531292865809618,0.9382580422005565,70.9387386492627,0.6552763288706172,0.6115642700100113,0.09872119381639281,0.8079689883782103,-8.466816629726663,30043.png
