model,modal,n_images,timestamp,EN,VAR,AG,SF,EI,CE
SFMFusion,PET,3,20260424_094841,5.752003786971213,77.04240320778696,24.621747099797272,96.36638523431571,193.08344050884307,4.931191005868169
SFMFusion,SPECT,3,20260424_095002,6.387238248577485,66.37669503226941,14.289717786688414,51.75648114543478,123.9534969002076,3.7696800961730745
SFMFusion,CT,3,20260424_095132,6.091517658500891,73.67478561565127,24.2163056069363,101.90056725629061,185.81836541496844,4.176649226920842
