image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
10018.png,5.826675586504283,50.40328185124665,7.366278238149425,20.87347333430845,72.16835945037153,45.50733947753906,0.8130897293014937,3.046849386149546,0.0343454177111651,0.5358002162023279,1.1294782311480918,1.3027754088040897,58.30425172798761,0.09608491008475023,0.737973379265883,0.07450510145141931,0.8748735635047776,0.7397497153210613,0.9998585309606395,22.37195041166933,0.9806914635294743,0.8532056442115157,0.022246086047084716,0.8130897293014936,-11.61244064130709
11010.png,6.33598590969433,58.746486329514866,7.306117281030838,21.05899045779646,72.22639091376281,49.724945068359375,0.8151935841445405,3.233740413624627,0.03503077440352828,0.4502268016113541,1.748548841800977,1.124390870403845,57.41907309581257,0.11780753021529847,0.7119508529835207,0.05973693481010783,0.8844435414766103,0.7630104573641545,0.9998770373803278,55.52944587331533,0.9808968675825152,0.8475599720765798,0.017573020694908945,0.8151935841445405,-8.406011727593901
11013.png,6.073252939753461,54.916044192680324,6.156289713067499,18.144496350208634,61.05288606448446,44.485321044921875,0.8149252223775652,3.162887333895582,0.022207615454096614,0.44455436511219143,1.8249484225827268,1.1590027474095626,57.52041202114175,0.11509041571077268,0.7252676092466408,0.09089358052818355,0.8982085113753256,0.7825434172968093,0.9998565383576237,41.32000662421463,0.9832019858208239,0.8673456392213061,0.05627236092972152,0.814925222377565,-8.842942049070347
15009.png,5.151746212713228,53.895174337396725,7.08618257421688,21.02082518724549,72.36329768130841,40.91539001464844,0.8111418752523436,2.754678605153692,0.012262499699674878,0.6427258123668379,0.9123277531198056,1.4133585914664402,57.55898146678973,0.11407282953278794,0.7905506827517708,0.11259255931503742,0.7158537420240287,0.6250724882778794,0.9315335112923429,19.185624534507816,0.9888658440709757,0.8740780142575597,0.04283629583763825,0.8111418752523436,-11.30559668600244
15012.png,4.966646113255387,51.646795855710444,6.635198500301491,21.01862635398883,68.62620368771681,38.11888122558594,0.8108510533916418,2.8027671916033796,0.017411469654983046,0.6824616121421141,0.8916502393494428,1.4236703034964944,57.89831273680656,0.10549918075928971,0.7547623888549944,0.09010253696429282,0.5961512041701801,0.49408394634719743,0.8649801235630947,30.366814102264016,0.9793898268499212,0.9128461750471843,0.05294093207766487,0.8108510533916417,-6.144943090128851
18017.png,5.402501234777219,58.602257846346404,8.877860223544738,26.94342358240356,87.45365221561138,49.79925537109375,0.8126683023500186,2.801281896570698,0.017456231554286612,0.6016412902386916,1.0034106864988592,1.3427112441135687,57.13357448444054,0.12581224512491795,0.8102847153529602,0.12203167326485402,0.8007388651494947,0.7218291819286202,0.9978000800412081,33.19855316530825,0.9888930770316674,0.8604605556085863,0.01653060175676686,0.8126683023500186,-22.276074125999834
18028.png,4.894231911736259,63.92624160245801,7.054805376911905,23.694749029939036,71.0366424532259,50.120635986328125,0.8109715556782748,2.6341332440449357,0.026191950939409837,0.6742094658427271,1.0491948548381465,1.421296574757978,56.81377324841036,0.13542630711509163,0.753309424260148,0.08482016514855424,0.6576474933927229,0.5449730626204292,0.9938977140880375,52.03258960072061,0.9888368495133617,0.8908533024294951,0.016695662407933468,0.8109715556782748,-21.37207460846688
21014.png,4.23871185823238,45.47939265332715,4.65215200023571,16.73061057099008,48.84869955344249,33.59486389160156,0.8089665050008992,2.535204062666721,0.010925325072299489,0.7215017678559075,1.1062155206297644,1.5138215277179508,58.397544686641474,0.09404287384383958,0.6883086963937036,0.07555710971668275,0.4233327969991528,0.3158242929930041,0.669306527522725,41.51160959027179,0.9754782239141802,0.9658059118151292,0.09930004695108453,0.8089665050008992,-13.793387051668054
22010.png,5.020973363923201,60.90145453291897,8.13295818612371,25.683648704789118,82.03268475199953,47.74671936035156,0.8108816474522859,2.7198843970599906,0.015351940357418587,0.6973764047241188,0.9672238644034248,1.4098536807564825,57.09783862422193,0.12685176036324505,0.8010477191820399,0.10924631582027586,0.5963459868912976,0.5046912901672036,0.8029450791582073,23.183665667296967,0.9895723363314755,0.9007339656848952,0.023777341640552126,0.8108816474522859,-15.873953376479076
25014.png,5.451519519269764,59.83576529628934,7.838331054335665,23.23018006536197,80.23821385486195,50.30003356933594,0.8108543867294912,2.806890001216707,0.015938047752410894,0.6435844228662853,1.175232993558244,1.357516789910134,57.200585954533466,0.12388586725066986,0.765438034196315,0.09476893919127181,0.6723156830637069,0.5691903015983661,0.9359638659908198,29.82244196350318,0.9761397505994257,0.8564373761510852,0.046075136191191655,0.8108543867294911,-11.889801645992858
