EN,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE,image
5.913333394683712,57.43409126228153,7.592652257958526,21.59057346502932,75.17628098307269,0.8075589318990734,2.2413227608412543,0.04240595421368714,0.5184279678241669,1.186451957363674,1.3639499476104788,57.347918138245085,0.11975359148465206,0.6933115154127006,0.05946382875577054,0.7842581571104437,0.7460056684670049,0.9998999580609661,24.637480593278273,0.9340011451928879,0.6245055513872735,0.059857009189500356,0.8075589318990732,-5.785721274376153,10018.png
6.190801845461571,73.3792398471004,7.408434569040574,21.780531577216678,74.12633106521508,0.8087198151291684,2.423747619789631,0.03938592974693881,0.4213057936119725,1.61389835978995,1.2213666039713866,56.75473433015149,0.1372798916881702,0.6667292615943818,0.04027525327436446,0.8085276984772509,0.7677374711648419,0.9998678140732185,49.294839763541894,0.892445853405662,0.6495144036129796,0.018869839157106275,0.8087198151291684,-4.012052469255792,11010.png
6.032003876783777,69.89272704983374,6.465084446857541,19.535416352497577,65.02444327348582,0.8085685343479124,2.3968064245665364,0.03459422062365438,0.41701076038072804,1.6545501470824877,1.2336720278370314,56.79893160837453,0.13588990656525216,0.6798485715607422,0.04834763995091908,0.8013059166634721,0.7681451209702538,0.9998870427373743,42.282565342536124,0.8922486523384606,0.667446088741498,0.018641810495821462,0.8085685343479124,-5.44299852318231,11013.png
5.207577371538407,64.40587977258734,7.903397195960961,23.420304564491783,81.1260294823551,0.8072999306262955,2.1420537245960594,0.03935607070054205,0.6275681746376326,1.004086596062015,1.4386561538984268,56.85427479649419,0.13416921574605872,0.7573327287672276,0.04907993548362449,0.6690522823983132,0.6260216429153049,0.9287802034380302,25.372190923890972,0.9635262398125044,0.6777796171326439,0.0676829463636246,0.8072999306262955,-4.971130278436459,15009.png
5.120825706473016,66.31420903605022,7.40855046876239,23.399924957937564,76.89472663471477,0.8072842788501516,2.174932895587151,0.041900327818435966,0.6674003242350843,0.9955834621192462,1.4544984049172816,57.0696261997422,0.12767849090417369,0.7198451622566288,0.04634745078727559,0.5655954270361293,0.5085042113953885,0.8558433477007579,36.72229636082595,0.9530291987115392,0.6967281296193695,0.055342049616983836,0.8072842788501516,-6.02859463527542,15012.png
5.3635331585868995,71.46763784676943,9.274586436191017,28.529771212874884,91.98277044912564,0.8086205340254922,2.2830610353263863,0.02672023957433366,0.5803808427925152,1.072871222023092,1.3876660280053166,56.55566667183186,0.1437188368447787,0.771928424838886,0.0365172014368811,0.7589735561389407,0.7347179483068013,0.9976580528591277,41.620022250553426,0.9671048145067425,0.7112233943612737,0.04299233600531879,0.8086205340254922,-5.500679224649298,18017.png
4.947085699262717,76.2797082205559,7.271638014541224,24.403387040988093,73.8013009317377,0.8078715418924742,2.2174355313541554,0.033352191932693454,0.6564384676561813,1.0611019480922466,1.465190132057816,56.23645375411733,0.15468029278661416,0.711993948173427,0.032779236937071334,0.6150461221515197,0.5666259707569096,0.9897462310487627,62.40829557168094,0.9595728648332544,0.7536923156653283,0.015216991077764455,0.8078715418924742,-5.036869773931444,18028.png
4.556441541039229,66.67732875278548,5.475366520398403,19.403047994693384,57.67783920853462,0.8067765101704911,2.0927333475760994,0.03604431197986379,0.7112060907695166,1.1241504540638336,1.5683335400069731,57.47366771837602,0.11633585581193816,0.6719924311428244,0.04295653482949375,0.4512180024184908,0.4086738342958174,0.668933552245708,47.63134132599142,0.9444058515868132,0.7634679957685064,0.04525437188690052,0.8067765101704911,-6.328157242991986,21014.png
5.023820262605881,70.20385300870804,8.870710088754656,28.172517909850715,89.89209953627446,0.8072524113337134,2.09594873370171,0.03402364590385022,0.6790928175579628,1.0763378796348586,1.4440380062039555,56.45898189907419,0.146954256878569,0.7633041357883863,0.03927050744381534,0.5728179043132929,0.5265039675281965,0.8024205342530265,31.941926020698812,0.97048185030213,0.6947639617350612,0.07209900796817012,0.8072524113337134,-6.200114515173778,22010.png
5.619646940338405,70.75221798727428,8.624332617904022,25.666702204427846,88.7384073760393,0.8072622386486217,2.1978801196613906,0.036697115904957125,0.6336004430658321,1.236047715798282,1.398504989161189,56.50267062201364,0.14548335194438008,0.7260177748816382,0.04576755471545446,0.6371794315594106,0.5913534328353517,0.9317163704688829,33.42800665789845,0.9496229174136203,0.6595563737462906,0.05574656989610162,0.8072622386486217,-7.654690542408041,25014.png
