metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
QMI,PET,24,0.7648744328763429,0.7282988896034258,-0.03657554327291712,-0.5555555555555556,large,0.0,1.0,1.0,NS
QSF,PET,24,0.032920165686165154,0.1599688625461869,0.12704869686002174,1.0,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,PET,24,0.8106392162497976,0.8098598925582022,-0.0007793236915953905,-0.2638888888888889,small,0.0,1.0,1.0,NS
QTE,PET,24,-5.291335585132882,-5.478987778609661,-0.18765219347677942,-0.1423611111111111,trivial,16.0,0.9999918341636658,1.0,NS
EN,SPECT,24,5.004588447373647,5.028067512807813,0.023479065434166557,0.024305555555555556,trivial,191.0,0.12612468004226685,1.0,NS
VAR,SPECT,24,60.284758116291584,49.898193814714794,-10.38656430157679,-0.8680555555555556,large,0.0,1.0,1.0,NS
AG,SPECT,24,6.9577777427410155,5.693237724319441,-1.2645400184215747,-0.5520833333333334,large,0.0,1.0,1.0,NS
SF,SPECT,24,22.283591337606264,18.19354075920081,-4.090050578405453,-0.7048611111111112,large,0.0,1.0,1.0,NS
EI,SPECT,24,70.35793384285253,57.37923947801676,-12.978694364835775,-0.5416666666666666,large,0.0,1.0,1.0,NS
MI,SPECT,24,46.760497411092125,39.92408816019694,-6.836409250895187,-0.5451388888888888,large,0.0,1.0,1.0,NS
NCIE,SPECT,24,0.8145233357874577,0.8132388071165885,-0.001284528670869256,-0.2673611111111111,small,0.0,1.0,1.0,NS
MI_mutual,SPECT,24,3.081451671964017,2.954170430509471,-0.12728124145454567,-0.2986111111111111,small,0.0,1.0,1.0,NS
NABF,SPECT,24,0.03298507656551619,0.004245847840054437,-0.028739228725461755,0.9965277777777778,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,SPECT,24,0.6525684337221476,0.6418520752308687,-0.010716358491278832,-0.11805555555555555,trivial,3.0,0.9999998211860657,1.0,NS
CE,SPECT,24,1.2001269029317518,1.169726742641134,-0.030400160290617873,0.052083333333333336,trivial,191.0,0.12612468004226685,1.0,NS
SSIM,SPECT,24,1.4318334044787104,1.4224126942184043,-0.009420710260306109,-0.05555555555555555,trivial,38.0,0.9996750950813293,1.0,NS
PSNR,SPECT,24,58.19675474680622,58.17078531540157,-0.02596943140465413,0.0,trivial,106.0,0.8961917161941528,1.0,NS
RMSE,SPECT,24,0.09945422682989107,0.10011323214393959,0.0006590053140485275,-0.0,trivial,104.0,0.9062493443489075,1.0,NS
QG,SPECT,24,0.758469704445443,0.7414358415817727,-0.017033862863670368,-0.25,small,0.0,1.0,1.0,NS
QM,SPECT,24,0.16776686534250376,0.012578893414077608,-0.15518797192842615,-0.9965277777777778,large,1.0,0.9999999403953552,1.0,NS
QC,SPECT,24,0.6507299092464892,0.6323055947570024,-0.01842431448948678,-0.1076388888888889,trivial,4.0,0.9999997019767761,1.0,NS
QS,SPECT,24,0.551933833949276,0.5411786086527776,-0.010755225296498416,-0.0625,trivial,41.0,0.9995186924934387,1.0,NS
QCB,SPECT,24,0.8802187917105826,0.8802361430245152,1.735131393265643e-05,0.003472222222222222,trivial,198.0,0.08899009227752686,1.0,NS
QCV,SPECT,24,33.54733910360178,44.97436438090804,11.427025277306264,-0.5590277777777778,large,5.0,0.9999995827674866,1.0,NS
QY,SPECT,24,0.9853823944533534,0.9616255820154035,-0.023756812437949915,-0.7777777777777778,large,0.0,1.0,1.0,NS
QMI,SPECT,24,1.0219510813028647,0.97908889767826,-0.0428621836246047,-0.375,medium,0.0,1.0,1.0,NS
QSF,SPECT,24,0.030636019557062633,0.20348714098447282,0.1728511214274102,0.9861111111111112,large,299.0,1.1920928955078125e-07,2.86102294921875e-06,SIG
QNCIE,SPECT,24,0.8145233357874577,0.8132388071165885,-0.001284528670869256,-0.2673611111111111,small,0.0,1.0,1.0,NS
QTE,SPECT,24,-10.807423574080715,-11.103152015478537,-0.29572844139782184,-0.03125,trivial,131.0,0.7080969214439392,1.0,NS
EN,ALL,72,5.102242297298831,5.129207008331592,0.0269647110327611,0.015817901234567902,trivial,1742.0,0.008157205454105655,0.17130131453621875,MARGINAL
VAR,ALL,72,76.8644674639891,66.65120007441107,-10.213267389578036,-0.4714506172839506,medium,0.0,0.9999999999999171,1.0,NS
