model,modal,n_images,timestamp,EN,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
MM-Net-Fusion,PET,10,20260424_093303,5.261186029745247,80.64382313313918,10.85067773261564,34.17862060536173,108.91881966754832,0.8130334908541788,2.820345115736494,5.272215454938015e-05,0.6533562889241937,0.9162240606144924,1.4127978334721312,55.846828363828216,0.16946378860588582,0.797222415390635,0.03541224095126186,0.7132196056345734,0.6160800229039587,0.8982977238237305,58.263404336990604,0.9940505458340733,0.8896941633425091,0.1160684511258454,0.8130334908541788,-6.350267651168942
MM-Net-Fusion,SPECT,10,20260424_093349,5.173700361508476,57.70688738549693,6.516197471487132,20.012518497085445,65.58145468016754,0.813851901255292,3.0657865050260957,0.00011075956388096682,0.6324743852265866,1.3068787566594093,1.406534894546511,58.304477666335984,0.09740748212766698,0.7670212085267117,0.050306577672913,0.7275418887460685,0.6240613102089068,0.9156220648339415,27.045835025791728,0.9910145009165581,0.9640951687816421,0.11577331190676672,0.813851901255292,-4.620839197839632
MM-Net-Fusion,CT,10,20260424_093429,4.460813868160338,53.81793544848598,6.072390624871353,20.614328396110995,61.62487986248395,0.8098360566071104,2.5848592490506475,5.7468659558937095e-05,0.7283099902922633,0.9037325684251665,1.4741837778932934,56.21270780869395,0.15699909653146008,0.5392222831457393,0.008331740901439885,0.4714451333763313,0.3319714104738085,0.7863516502711758,1440.5847144989177,0.9654883193337938,0.9657876429795824,0.46593817443862556,0.8098360566071104,-6.324537248446587
