model,modal,n_images,timestamp,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
CDDFuse-FuseRule-Gated,CT,24,20260502_081552,4.674392638190938,74.99617599809244,8.628519738218023,37.192054090736626,86.50015136393513,57.389227549235024,0.8072567439169805,2.1744430718213628,0.023232450828328807,0.6687720875382789,1.5961128009839218,1.4726608066587723,55.35365495247961,0.19009341965885498,0.6101858617131316,0.0042679799953475595,0.4675950330241949,0.3919497030231655,0.79520520813156,644.0056497262482,0.9188458702415881,0.7900788202760949,0.03418842928002258,0.8072567439169805,-8.385431413843962
CDDFuse-FuseRule-Gated,PET,24,20260502_081921,5.707590422402208,77.0922240014724,10.342368273061401,31.726359909741646,105.01390225637216,69.07808876037598,0.8093839413176642,2.3857972043479143,0.010272250061803401,0.6110215615732656,1.1362973503875076,1.3976246115659372,55.81510303271647,0.17101356240210255,0.7204412364437595,0.010785601257036129,0.6490482229579096,0.5967584797270642,0.8962663960013167,63.468239533017936,0.9448841995107856,0.7104428590987664,0.1291899330744902,0.8093839413176642,-5.514673583083764
CDDFuse-FuseRule-Gated,SPECT,24,20260502_082316,5.0789683068534375,50.73348277303754,5.988199104722049,19.240613677649215,60.317651288065974,40.0196107228597,0.8122716368634068,2.848604050100857,0.004542346219875402,0.6328932727464854,1.2003907165055285,1.4170935404782794,58.17279051523042,0.10010607753879368,0.7465599745330186,0.01959770902370413,0.6271939677094873,0.5342091961599731,0.8802350314716945,38.240276449434496,0.961277509928093,0.9406571061623209,0.15853997517175153,0.8122716368634068,-11.23593846281698
