image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
25015.png,4.1160029087121925,75.73638053913177,7.671518341011901,28.54519710192751,77.99991403871414,45.34358215332031,0.8075621863400926,1.991781285293781,0.011112977063510882,0.6493120517299779,0.9770441818981253,1.5535476509335977,55.624518397175336,0.17808548408312477,0.7975899985485759,0.005062286276370287,0.6702336971755605,0.6361786970355507,0.8851494700594091,71.35812372083012,0.9739159548687719,0.825639500938118,0.08458844695405024,0.8075621863400926,-7.165810022513513
25022.png,4.8296071860578875,81.10979190692763,9.996777525379509,32.95349335046322,101.60347075335572,59.28456115722656,0.808665644423801,2.2310399202840765,0.01669537014362791,0.6367887314776906,1.1025055526058198,1.4936830803027947,55.31195592641456,0.1913748081027492,0.7481279441217701,0.004974871873855591,0.6769490129013187,0.6409988429232463,0.8823550058807006,86.44215753026917,0.9631553061708499,0.7855770512448593,0.08108118466442299,0.8086656444238011,-4.87066934895018
25027.png,5.137454826470058,77.80506326970628,10.254102498089619,32.652632313071734,103.69570749427403,61.36256408691406,0.8094335991206911,2.37106210950086,0.016243254412688122,0.6287743351756824,1.0859769294859531,1.456368702863938,55.57127232983051,0.18028231570038863,0.7297376181305938,0.004312768112868071,0.6778773733290047,0.6332702876721207,0.8859482018828617,90.79022231035883,0.9528590705134026,0.7777634387485475,0.11763509290406836,0.8094335991206911,-5.137916696239243
25038.png,5.5943957473490675,78.24354396521103,11.119241174666039,35.07600281546833,110.65700816815509,70.73072814941406,0.8096574173203093,2.4325043458343654,0.015827394496678627,0.6089244709495684,1.286256799852008,1.3950929236140914,55.35823238441974,0.1893464305333007,0.6890012820902504,0.005422685761004686,0.6674012492770562,0.5915104609484321,0.8857662267379858,105.72290562393138,0.946361064234397,0.7285490434427923,0.12005318073675501,0.8096574173203093,-5.8864928518326
25046.png,5.758008901018392,76.04183716759226,11.675992113718038,36.564273836845445,115.54654485688688,71.53857421875,0.8100240003176481,2.4759034860020064,0.014609622983738609,0.6001047165475418,1.3677745082264716,1.366826656686029,55.40086531496662,0.18749678675888765,0.6930974936167414,0.006227946374565363,0.677483066033996,0.6058988006033847,0.8904611586456743,103.11778340671958,0.9422427532779494,0.7188203278278873,0.12769510732655687,0.8100240003176481,-6.493549650541106
25055.png,5.724124025286335,73.49788584331912,11.968242341161469,37.333372888089976,117.76285326636463,68.35305786132812,0.8095435255705405,2.410413014322728,0.013768189624338697,0.6022787091993143,1.2400652593744383,1.373841950985243,55.72076147382249,0.17418237723258445,0.6953072032433183,0.005005891900509596,0.6797518435282055,0.5953862930781015,0.8933750976579102,97.90967362459283,0.9430233530424281,0.7026870706129371,0.13191397970416216,0.8095435255705405,-6.172234291735283
25063.png,5.7355284006391365,70.73612744965801,11.501424923392337,36.09104469366436,113.259588546948,61.96842956542969,0.8104891792650377,2.5201594049284024,0.012855254269078454,0.6046088837194787,1.1625732483320006,1.3607160421369653,55.8995478413066,0.16715738819041545,0.725978087065702,0.004171848297119141,0.6909388479465847,0.6090707366709012,0.8956579440399417,91.87175652019107,0.9443834836699173,0.7347403321724104,0.14217036154672047,0.8104891792650377,-6.37634413479315
25073.png,5.891794641588103,70.2266705232252,12.83278573015968,39.0799937390544,127.56772483612994,62.98139953613281,0.811736478374088,2.621940016868918,0.008142501570379945,0.6104382701301627,1.2385948779019467,1.3327328763234831,55.500781783797095,0.18323236304427437,0.7733729238128518,0.004684208892285824,0.7054466288726704,0.6428516902059851,0.8910153133082422,81.34271128270477,0.9487667687515293,0.7417405923360876,0.13466343602972677,0.8117364783740879,-5.670921751440064
30034.png,5.41930042232708,71.7114441870272,8.997964092137778,27.322316376324476,93.8349885401312,57.62834167480469,0.8118170229630278,2.6063013142941474,0.009223437759134008,0.6405377355282984,1.2031042650220711,1.399231963508407,55.60622131858564,0.17883735128170072,0.7735618546818869,0.012570489197969437,0.6410899041232249,0.587366730672723,0.9291878737022548,58.822181504581195,0.9575857140591763,0.8068642461560573,0.1190553980568782,0.8118170229630278,-6.00971901375848
30043.png,6.0752021978584,75.90189855736635,11.571764619194173,33.92335510539082,119.06772719533544,73.5634765625,0.8123297401084769,2.70521177513682,0.009823036317475402,0.5994718099522366,1.4091584883088812,1.3163323743628395,55.05846532292837,0.20287747385128513,0.7366286708266435,0.007828149944543839,0.6812834060471804,0.6124134516121257,0.94896125223073,81.81319635078492,0.9479175246843502,0.7453436937407683,0.12305176185868744,0.8123297401084768,-5.702322987886111
30057.png,6.257749591976679,70.85856596220414,10.004802521423743,28.76327261353321,102.25565548016439,72.00079345703125,0.8141805860974671,2.961173265517872,0.01144550451480847,0.582215780140735,1.373444168283919,1.2866033408411606,55.52139703014241,0.1823646501613786,0.6976307794179994,0.006097652018070221,0.6872476957458041,0.6038194611418801,0.9489249044347312,94.99522586904207,0.9355602278954902,0.7870306262726108,0.17133457466788654,0.8141805860974671,-5.074522683587818
30062.png,6.38835890994694,69.16980769950322,10.476897684252746,29.08269365221109,107.30480958671623,71.4581298828125,0.8139311354075334,2.9266536008139497,0.011347872349881195,0.5807960647352785,1.369584283548702,1.2637215942168492,55.645288882917576,0.17723580925447488,0.714693813025878,0.006296286825090647,0.7059562973099464,0.6337913654496152,0.9563502313279688,83.80549340412566,0.9350816356455318,0.7616592109362177,0.1676827819719828,0.8139311354075334,-4.792314756728049
