Algorithm,Time (s),IE,AG,SF,PSNR,SSIM,QG,MI,VI
"DWT (db2, L3)",0.006390571594238281,4.4751,4.653300000000001,14.426533333333333,58.9823,1.3225,0.6475,1.4527333333333334,1260.2501
"NSST (L3, 8dir)",0.3456929524739583,4.293733333333333,14.9647,48.88946666666667,52.75363333333333,0.4548666666666667,0.0809,0.5844333333333334,8270.529433333333
Pyramid (L5),0.01808619499206543,4.1659999999999995,4.470133333333333,14.670966666666667,58.43553333333333,1.3508666666666667,0.6893333333333334,1.5589333333333333,2040.4322
Guided Filter,0.024713436762491863,4.586666666666667,5.136133333333333,15.997233333333334,58.3812,1.3926999999999998,0.7555666666666667,2.3563666666666667,1932.9459
