Model,IE,AG,SF,EI,Var,Mean,MI,PSNR,SSIM,RMSE,QG,QM
CDDFuse,5.6152500000000005,11.562116666666668,35.2434,118.0315875,8026.828700000001,81.30989583333333,2.5461166666666664,55.244724999999995,1.4036875000000002,0.19486666666666666,0.75175,0.07400833333333333
DAF-Net,5.985416666666666,11.446283333333334,35.3977875,117.34894999999999,9296.178454166666,90.05237916666665,2.1852125,54.58415416666666,1.0864916666666666,0.22671666666666668,0.722425,0.015474999999999997
